name,city,service_area_population,total_staff,total_revenue,total_expenditures,hours,visits,users,total_circulation,total_programs,program_audience,computers,computer_uses,wifi_sessions
Cathlamet Public Library,Cathlamet,520,0.40,48472,47901,762,6323,911,10368,43,373,5,547,654
Davenport Public Library,Davenport,1730,0.45,56285,35782,832,3847,1692,7751,3,124,4,559,4717
Harrington Public Library,Harrington,415,0.15,7952,14986,294,1112,224,1680,35,72,2,823,254
Kittitas Public (Gilmour Memorial) Library,Kittitas,1530,0.50,28674,24211,1010,2998,924,3379,52,794,4,1830,210
Lopez Island Library District,Lopez Island,2596,4.20,487531,499398,2450,54478,3899,77646,272,4087,14,8219,7077
Odessa Public Library,Odessa,910,0.25,1200,10878,530,1300,310,4079,2,15,3,177,14
Orcas Island Library District,Eastsound,5632,7.40,976127,851136,2643,118749,5955,115988,314,7227,17,27598,31926
Pomeroy (Denny Ashby) Library,Pomeroy,2220,0.50,59760,46681,1080,4813,972,11633,60,665,4,610,6052
Reardan Memorial Library,Reardan,580,0.25,33710,31935,520,1816,610,4073,29,479,3,483,200
Ritzville Library District #2,Ritzville,3230,3.89,281185,251030,2425,15949,1001,33733,307,4155,34,3593,8806
San Juan Island Library District,Friday Harbor,8236,10.20,1569719,1628169,2730,101116,5712,153664,520,8829,28,17328,24999
Sprague Public Library,Sprague,440,0.25,13971,11733,1632,3338,134,1779,8,800,4,841,0
Upper Skagit Library District,Concrete,5198,3.30,375712,295284,1560,23129,1458,40645,137,2630,11,3384,6970
Waitsburg (Weller) Public Library,Waitsburg,1230,0.41,18649,42548,600,10892,595,5713,104,323,2,2439,321
Wilbur (Hesseltine) Public Library,Wilbur,890,0.40,16704,16704,416,1123,909,5750,11,141,2,59,107
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,
